Date,P/E
3-Dec-21,23.73
6-Dec-21,23.33
7-Dec-21,23.69
8-Dec-21,24.1
9-Dec-21,24.16
10-Dec-21,24.15
13-Dec-21,23.96
14-Dec-21,23.9
15-Dec-21,23.75
16-Dec-21,23.79
17-Dec-21,23.43
20-Dec-21,22.92
21-Dec-21,23.13
22-Dec-21,23.39
23-Dec-21,23.55
24-Dec-21,23.45
27-Dec-21,23.57
28-Dec-21,23.77
29-Dec-21,23.74
30-Dec-21,23.73
31-Dec-21,24.11
